gene_id	chrom	start	end	number_of_cds	gene_name	name_alias
FBgn0085506	211000022278760	562	879	2	CG40635	FBan0040635
FBgn0259817	211000022279188	1449	2180	3	SteXh:CG42398	RR41752;CG42398;StellateXh:CG42398
FBgn0085692	211000022280328	7386	9527	4	CG41561	FBan0041561
FBgn0031208	2L	7529	9484	6	CG11023	
FBgn0002121	2L	9839	21376	48	l(2)gl	Lgl;lgl;lethal giant larvae;lethal giant larve;lethal giant larva;lethal(2)giant larvae;Complementation group 2.1;Lethal Giant Larvae;dlgl;p127l(2)gl;LGL;l(2) giant larva;CG2671;L(2)GL;p127;l(2)giant larvae;D-LGL;l(2);gl;l[[2]]gl;l-gl;lethal-giant-larvae;Lethal giant larvae;Lethal (2) giant larvae;lethal(2) giant larvae;L(2)gl;Lethal (2) giant larva;Lethal-giant-larvae;MENE (2L)-B;p127[l(2)gl];lethal(2)-giant larvae;lethal-2-giant larvae;l(2) giant larvae;lethal- giant-larvae;Lethal(2)giant larvae;Lethal-2-giant larvae;Lethal giant larva
FBgn0031209	2L	21823	25155	5	Ir21a	CT8983;IR21a;CG2657;DmelIR21a;ionotropic receptor 21a;ir21a
FBgn0051973	2L	25402	65404	76	Cda5	FBgn0031210;FBgn0031211;FBgn0063656;CG2761;CG2776;BcDNA:RH43162;DmCDA5;CG31973
FBgn0067779	2L	66482	71390	9	dbr	FBgn0028472;FBgn0043386;CG11371;Dbr;EP456;BcDNA:LD26519;EP0456;Debra
FBgn0031213	2L	71757	76211	13	galectin	CG11372;Dmgal
FBgn0031214	2L	76348	77783	2	CG11374	
FBgn0002931	2L	82421	87387	4	net	FBgn0031215;CG11450;Shout;Group IId;shout;bHLHc42
FBgn0031216	2L	94739	102086	12	Zir	FBgn0025528;anon-EST:Posey54;Dm zir;CG11376;FBgn 31216
FBgn0031217	2L	102380	104142	6	CG11377	CT31762
FBgn0026787	2L	103962	106732	5	Nhe1	DmNHE1;NHE1;CG12178;Nhe1;nhe1
FBgn0031219	2L	115365	116488	2	CG13694	
FBgn0031220	2L	116970	121754	36	CG4822	CG4822-RA;CG4822-PA;CG4822-RC;CG4822-PC;CG4822-RD;CG4822-PD;CG4822-RB;CG4822-PB
FBgn0025683	2L	122624	130791	17	CG3164	FBgn0031221;CG3164-RA;CG3164-PA;CG3164-RB;CG3164-PB;CG3164-RC;CK02656;BEST:CK02656
