CDS_name	CDS_loc	length	gene_name
Nep3-PA	X:join(19963955..19964071,19964782..19964944,19965006..19965126,19965197..19965511,19965577..19966071,19966183..19967012,19967081..19967223,19967284..19967460);	2361	Nep3
CG9570-PA	X:20051456..20052088;	633	CG9570
Or19b-PA	X:join(20094398..20095134,20095288..20095648,20095702..20095767);	1164	Or19b
CG15322-PB	X:join(20133990..20134013,20135014..20135233,20135847..20136004,20136109..20137021,20137465..20138372);	2223	CG15322
Or19a-PB	X:complement(join(20141819..20141884,20141938..20142298,20142452..20143188));	1164	Or19a
karr-PA	X:complement(20110183..20110476);	294	karr
fd19B-PA	X:complement(20091603..20092385);	783	fd19B
CG17003-PA	X:complement(20001103..20001966);	864	CG17003
CG12655-PA	X:complement(join(19958500..19958900,19959301..19959367));	468	CG12655
CG33217-PA	3L:join(23126208..23126400,23126717..23127251,23127313..23127489,23128260..23128370,23130510..23130654,23131189..23131350,23131408..23132184);	2100	CG33217
Vps11-PA	3L:complement(23147895..23150387);	2493	Vps11
RpL10-PC	3L:complement(join(23093714..23093878,23094684..23094846,23094906..23095211,23095275..23095297));	657	RpL10
G9a-PA	X:join(246850..247596,248382..250238,250294..250535,250626..250993,251050..251291,251351..251541,251602..251763,251823..252360,252430..252803,253069..253261);	4914	G9a
G9a-PB	X:join(246850..247596,248382..250238,250294..250535,250626..250993,251050..251291,251351..251763,251823..252360,252430..252803,253069..253261);	4974	G9a
cin-PB	X:join(255794..255824,255881..256641,256762..256940,256999..257427,257480..257642,257982..258080,258142..258285);	1806	cin
CG3777-PB	X:join(343820..343833,346149..347707,348080..348238,348647..349324,349444..349673);	2640	CG3777
CG12470-PA	X:308208..308795;	588	CG12470
Or1a-PA	X:join(315123..315628,315775..316378,316489..316557);	1179	Or1a
y-PA	X:join(356680..356917,359617..361004);	1626	y
ac-PA	X:370094..370699;	606	ac
sc-PA	X:396177..397214;	1038	sc
l(1)sc-PA	X:409796..410569;	774	l(1)sc
ase-PA	X:460956..462416;	1461	ase
CG13373-PA	X:join(477621..477931,478013..478076);	375	CG13373
CG13373-PB	X:join(477147..477291,477607..477931,478013..478076);	534	CG13373
CG32817-PA	X:join(479644..479945,480030..480093);	366	CG32817
CG3176-PA	X:join(482132..482433,482518..482581);	366	CG3176
CG3176-PB	X:482132..482437;	306	CG3176
CG3156-PA	X:join(487990..488362,488422..488628,488874..489076,489143..489424,489485..490228,490302..490571);	2079	CG3156
CG17778-PA	X:join(495070..495117,495469..495804);	384	CG17778
arg-PA	X:join(509512..509716,509910..510113,510175..510361,526502..526601,527559..527918);	1056	arg
CG17896-PB	X:complement(join(491096..492628,493388..493417));	1563	CG17896
CG17896-PA	X:complement(join(491096..492628,492743..492745));	1536	CG17896
CG18273-PA	X:complement(join(482884..483045,483268..483828,483884..484246,484310..484965,485028..487403,487465..487480));	4134	CG18273
Cyp4g1-PA	X:complement(467558..469228);	1671	Cyp4g1
Pgcl-PA	X:complement(436186..437409);	1224	Pgcl
CG32816-PB	X:complement(join(317021..317928,333565..333793));	1137	CG32816
CG32816-PC	X:complement(317021..317902);	882	CG32816
CG13375-PA	X:complement(join(286583..286891,286949..287041,287329..287526,289041..289272,290253..290341));	921	CG13375
CG13375-PC	X:complement(join(286583..286891,286949..287041,287329..287526,289041..289272,289871..289872));	834	CG13375
CG3038-PB	X:complement(join(244439..245346,245412..245578,245680..245681));	1077	CG3038
CG3038-PA	X:complement(join(244439..245346,245412..245670));	1167	CG3038
CG3038-PC	X:complement(join(244439..245009,245097..245346,245412..245670));	1080	CG3038
Appl-PA	X:join(531799..531876,560606..560776,570862..571000,571134..571352,571427..572070,572149..572289,573853..574002,574196..574878,574942..575089,575168..575350,575471..575578);	2664	Appl
Appl-PB	X:join(531799..531876,560606..560776,570862..571000,571134..571352,571427..572070,572149..572289,573853..574002,574196..574878,574945..575089,575168..575362,575471..575578);	2673	Appl
Appl-PC	X:join(531799..531876,570862..571000,571134..571352,571427..572070,572149..572289,573853..574002,574196..574878,574942..575089,575168..575350,575471..575578);	2493	Appl
Appl-PD	X:join(531799..531876,560606..560776,570862..571000,571131..571352,571427..572070,572137..572289,573865..574002,574196..574878,574942..575089,575168..575350,575471..575578);	2667	Appl
Appl-PE	X:join(531799..531876,560606..560776,570862..571000,571134..571352,571427..572058,572149..572289,573853..574002,574196..574878,574942..575089,575168..575350,575471..575578);	2652	Appl
Appl-PF	X:join(531799..531876,560606..560776,570862..571000,571131..571352,571427..572058,572137..572289,573853..574002,574196..574878,574942..575089,575168..575350,575471..575578);	2667	Appl
CG13369-PA	X:join(623682..623734,623796..624344,624407..624719);	915	CG13369
CG17829-PA	X:join(625669..626362,626504..626820,626899..627291);	1404	CG17829
CG17829-PC	X:join(625669..625917,625975..626362,626504..626820,626899..627291);	1347	CG17829
Mybbp1A-PA	X:join(629886..630209,630273..630644,630703..631983,632044..633468);	3402	Mybbp1A
su(sable)-PA	X:join(638447..638720,638781..639016,639720..641017,641078..641202,641297..643341);	3978	su(sable)
su(sable)-PB	X:join(638447..638720,638781..639016,639720..641017,641078..641190,641297..643341);	3966	su(sable)
CG13367-PA	X:join(644896..645913,645990..646198);	1227	CG13367
Roc1a-PC	X:join(647448..647637,647703..647923);	411	Roc1a
Roc1a-PA	X:join(647448..647525,647610..647637,647703..647923);	327	Roc1a
CG5254-PA	X:join(756336..756506,757805..758554);	921	CG5254
CG5254-PB	X:757841..758554;	714	CG5254
CG5273-PA	X:join(759799..760528,760682..761361);	1410	CG5273
fz3-PA	X:join(770229..770447,781476..783002);	1746	fz3
fz3-PB	X:join(777797..778210,781476..783002);	1941	fz3
CG16989-PA	X:793477..796299;	2823	CG16989
CG14635-PA	X:844837..845196;	360	CG14635
CG13358-PD	X:complement(join(803921..804002,804074..804897));	906	CG13358
CG13359-PA	X:complement(801945..803426);	1482	CG13359
Rbf-PA	X:complement(join(797477..797692,797762..798142,798278..799013,799316..799647,799711..800065,800128..800316,800378..800517,800597..800785));	2538	Rbf
CG13360-PA	X:complement(join(788117..788527,788592..788903,789472..790014));	1266	CG13360
RpL22-PA	X:complement(join(762725..762991,764302..764922,765084..765095));	900	RpL22
CG13361-PA	X:complement(join(752139..752235,752314..753653));	1437	CG13361
